symbol,company_name,sector,isin,dhan_security_id,lot_size,tick_size,yfinance_symbol
ELGIEQUIP,Elgi Equipments Ltd.,Capital Goods,INE285A01027,937,1.0,5.0,ELGIEQUIP.NS
EMAMILTD,Emami Ltd.,Fast Moving Consumer Goods,INE548C01032,13517,1.0,5.0,EMAMILTD.NS
EMCURE,Emcure Pharmaceuticals Ltd.,Healthcare,INE168P01015,24398,1.0,10.0,EMCURE.NS
EMMVEE,Emmvee Photovoltaic Power Ltd.,Capital Goods,INE1C6T01020,759728,1.0,1.0,EMMVEE.NS
ENDURANCE,Endurance Technologies Ltd.,Automobile and Auto Components,INE913H01037,18822,1.0,10.0,ENDURANCE.NS
ENGINERSIN,Engineers India Ltd.,Construction,INE510A01028,4907,1.0,1.0,ENGINERSIN.NS
ERIS,Eris Lifesciences Ltd.,Healthcare,INE406M01024,21154,1.0,10.0,ERIS.NS
ESCORTS,Escorts Kubota Ltd.,Capital Goods,INE042A01014,958,1.0,10.0,ESCORTS.NS
ETERNAL,Eternal Ltd.,Consumer Services,INE758T01015,5097,1.0,1.0,ETERNAL.NS
EXIDEIND,Exide Industries Ltd.,Automobile and Auto Components,INE302A01020,676,1.0,5.0,EXIDEIND.NS
NYKAA,FSN E-Commerce Ventures Ltd.,Consumer Services,INE388Y01029,6545,1.0,1.0,NYKAA.NS
FEDERALBNK,Federal Bank Ltd.,Financial Services,INE171A01029,1023,1.0,5.0,FEDERALBNK.NS
FACT,Fertilisers and Chemicals Travancore Ltd.,Chemicals,INE188A01015,1008,1.0,5.0,FACT.NS
FINCABLES,Finolex Cables Ltd.,Capital Goods,INE235A01022,1038,1.0,5.0,FINCABLES.NS
FSL,Firstsource Solutions Ltd.,Services,INE684F01012,14304,1.0,1.0,FSL.NS
FIVESTAR,Five-Star Business Finance Ltd.,Financial Services,INE128S01021,12032,1.0,5.0,FIVESTAR.NS
FORCEMOT,Force Motors Ltd.,Automobile and Auto Components,INE451A01017,11573,1.0,100.0,FORCEMOT.NS
FORTIS,Fortis Healthcare Ltd.,Healthcare,INE061F01013,14592,1.0,5.0,FORTIS.NS
GAIL,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,INE129A01019,4717,1.0,1.0,GAIL.NS
GVT&D,GE Vernova T&D India Ltd.,Capital Goods,INE200A01026,16783,1.0,10.0,GVT&D.NS
GMRAIRPORT,GMR Airports Ltd.,Services,INE776C01039,13528,1.0,1.0,GMRAIRPORT.NS
GABRIEL,Gabriel India Ltd.,Automobile and Auto Components,INE524A01029,1085,1.0,5.0,GABRIEL.NS
GALLANTT,Gallantt Ispat Ltd.,Capital Goods,INE297H01019,13337,1.0,5.0,GALLANTT.NS
GRSE,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,INE382Z01011,5475,1.0,10.0,GRSE.NS
GICRE,General Insurance Corporation of India,Financial Services,INE481Y01014,277,1.0,5.0,GICRE.NS
GILLETTE,Gillette India Ltd.,Fast Moving Consumer Goods,INE322A01010,1576,1.0,50.0,GILLETTE.NS
GLAND,Gland Pharma Ltd.,Healthcare,INE068V01023,1186,1.0,10.0,GLAND.NS
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,INE159A01016,1153,1.0,10.0,GLAXO.NS
GLENMARK,Glenmark Pharmaceuticals Ltd.,Healthcare,INE935A01035,7406,1.0,10.0,GLENMARK.NS
MEDANTA,Global Health Ltd.,Healthcare,INE474Q01031,11956,1.0,5.0,MEDANTA.NS
GODIGIT,Go Digit General Insurance Ltd.,Financial Services,INE03JT01014,23799,1.0,5.0,GODIGIT.NS
GPIL,Godawari Power & Ispat Ltd.,Capital Goods,INE177H01039,13409,1.0,5.0,GPIL.NS
GODFRYPHLP,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,INE260B01028,1181,1.0,10.0,GODFRYPHLP.NS
GODREJCP,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,INE102D01028,10099,1.0,5.0,GODREJCP.NS
GODREJIND,Godrej Industries Ltd.,Diversified,INE233A01035,10925,1.0,5.0,GODREJIND.NS
GODREJPROP,Godrej Properties Ltd.,Realty,INE484J01027,17875,1.0,10.0,GODREJPROP.NS
GRANULES,Granules India Ltd.,Healthcare,INE101D01020,11872,1.0,5.0,GRANULES.NS
GRAPHITE,Graphite India Ltd.,Capital Goods,INE371A01025,592,1.0,5.0,GRAPHITE.NS
GRASIM,Grasim Industries Ltd.,Construction Materials,INE047A01021,1232,1.0,10.0,GRASIM.NS
GRAVITA,Gravita India Ltd.,Metals & Mining,INE024L01027,20534,1.0,10.0,GRAVITA.NS
GESHIP,Great Eastern Shipping Co. Ltd.,Services,INE017A01032,13776,1.0,10.0,GESHIP.NS
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,Chemicals,INE09N301011,13750,1.0,10.0,FLUOROCHEM.NS
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,Metals & Mining,INE131A01031,5204,1.0,5.0,GMDCLTD.NS
GSPL,Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,INE246F01010,13197,1.0,1.0,GSPL.NS
HEG,H.E.G. Ltd.,Capital Goods,INE545A01024,1336,1.0,5.0,HEG.NS
HBLENGINE,HBL Engineering Ltd.,Capital Goods,INE292B01021,13966,1.0,5.0,HBLENGINE.NS
HCLTECH,HCL Technologies Ltd.,Information Technology,INE860A01027,7229,1.0,10.0,HCLTECH.NS
HDBFS,HDB Financial Services Ltd.,Financial Services,INE756I01012,757772,1.0,5.0,HDBFS.NS
HDFCAMC,HDFC Asset Management Company Ltd.,Financial Services,INE127D01025,4244,1.0,10.0,HDFCAMC.NS
HDFCBANK,HDFC Bank Ltd.,Financial Services,INE040A01034,1333,1.0,5.0,HDFCBANK.NS
HDFCLIFE,HDFC Life Insurance Company Ltd.,Financial Services,INE795G01014,467,1.0,5.0,HDFCLIFE.NS
HFCL,HFCL Ltd.,Telecommunication,INE548A01028,21951,1.0,1.0,HFCL.NS
HAVELLS,Havells India Ltd.,Consumer Durables,INE176B01034,9819,1.0,10.0,HAVELLS.NS
HEROMOTOCO,Hero MotoCorp Ltd.,Automobile and Auto Components,INE158A01026,1348,1.0,50.0,HEROMOTOCO.NS
HEXT,Hexaware Technologies Ltd.,Information Technology,INE093A01041,29666,1.0,5.0,HEXT.NS
HSCL,Himadri Speciality Chemical Ltd.,Chemicals,INE019C01026,14334,1.0,5.0,HSCL.NS
HINDALCO,Hindalco Industries Ltd.,Metals & Mining,INE038A01020,1363,1.0,5.0,HINDALCO.NS
HAL,Hindustan Aeronautics Ltd.,Capital Goods,INE066F01020,2303,1.0,10.0,HAL.NS
HINDCOPPER,Hindustan Copper Ltd.,Metals & Mining,INE531E01026,17939,1.0,5.0,HINDCOPPER.NS
HINDPETRO,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,INE094A01015,1406,1.0,5.0,HINDPETRO.NS
HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,INE030A01027,1394,1.0,10.0,HINDUNILVR.NS
HINDZINC,Hindustan Zinc Ltd.,Metals & Mining,INE267A01025,1424,1.0,5.0,HINDZINC.NS
POWERINDIA,Hitachi Energy India Ltd.,Capital Goods,INE07Y701011,18457,1.0,500.0,POWERINDIA.NS
HOMEFIRST,Home First Finance Company India Ltd.,Financial Services,INE481N01025,2056,1.0,5.0,HOMEFIRST.NS
HONASA,Honasa Consumer Ltd.,Fast Moving Consumer Goods,INE0J5401028,19813,1.0,5.0,HONASA.NS
HONAUT,Honeywell Automation India Ltd.,Capital Goods,INE671A01010,3417,1.0,500.0,HONAUT.NS
HUDCO,Housing & Urban Development Corporation Ltd.,Financial Services,INE031A01017,20825,1.0,1.0,HUDCO.NS
HYUNDAI,Hyundai Motor India Ltd.,Automobile and Auto Components,INE0V6F01027,25844,1.0,10.0,HYUNDAI.NS
ICICIBANK,ICICI Bank Ltd.,Financial Services,INE090A01021,4963,1.0,10.0,ICICIBANK.NS
ICICIGI,ICICI Lombard General Insurance Company Ltd.,Financial Services,INE765G01017,21770,1.0,10.0,ICICIGI.NS
ICICIAMC,ICICI Prudential Asset Management Company Ltd.,Financial Services,INE346A01027,760407,1.0,10.0,ICICIAMC.NS
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,Financial Services,INE726G01019,18652,1.0,5.0,ICICIPRULI.NS
IDBI,IDBI Bank Ltd.,Financial Services,INE008A01015,1476,1.0,1.0,IDBI.NS
IDFCFIRSTB,IDFC First Bank Ltd.,Financial Services,INE092T01019,11184,1.0,1.0,IDFCFIRSTB.NS
IFCI,IFCI Ltd.,Financial Services,INE039A01010,1491,1.0,1.0,IFCI.NS
IIFL,IIFL Finance Ltd.,Financial Services,INE530B01024,11809,1.0,5.0,IIFL.NS
IRB,IRB Infrastructure Developers Ltd.,Construction,INE821I01022,15313,1.0,1.0,IRB.NS
IRCON,IRCON International Ltd.,Construction,INE962Y01021,4986,1.0,1.0,IRCON.NS
ITCHOTELS,ITC Hotels Ltd.,Consumer Services,INE379A01028,29251,1.0,1.0,ITCHOTELS.NS
ITC,ITC Ltd.,Fast Moving Consumer Goods,INE154A01025,1660,1.0,5.0,ITC.NS
ITI,ITI Ltd.,Telecommunication,INE248A01017,1675,1.0,1.0,ITI.NS
INDGN,Indegene Ltd.,Healthcare,INE065X01017,23693,1.0,5.0,INDGN.NS
INDIACEM,India Cements Ltd.,Construction Materials,INE383A01012,1515,1.0,5.0,INDIACEM.NS
INDIAMART,Indiamart Intermesh Ltd.,Consumer Services,INE933S01016,10726,1.0,10.0,INDIAMART.NS
INDIANB,Indian Bank,Financial Services,INE562A01011,14309,1.0,5.0,INDIANB.NS
IEX,Indian Energy Exchange Ltd.,Financial Services,INE022Q01020,220,1.0,1.0,IEX.NS
INDHOTEL,Indian Hotels Co. Ltd.,Consumer Services,INE053A01029,1512,1.0,5.0,INDHOTEL.NS
IOC,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,INE242A01010,1624,1.0,1.0,IOC.NS
IOB,Indian Overseas Bank,Financial Services,INE565A01014,9348,1.0,1.0,IOB.NS
